iter	Passed	Remaining
0	3	350
1	6	323
2	9	320
3	13	312
4	16	307
5	19	306
6	22	303
7	26	303
8	29	300
9	33	297
10	36	294
11	39	291
12	43	288
13	46	285
14	49	280
15	52	277
16	56	275
17	59	271
18	63	268
19	66	266
20	69	262
21	73	259
22	76	255
23	79	251
24	83	249
25	87	247
26	90	244
27	93	240
28	97	237
29	100	233
30	103	230
31	106	226
32	110	223
33	113	219
34	116	217
35	120	213
36	123	210
37	126	206
38	130	204
39	134	201
40	137	197
41	141	194
42	144	191
43	148	188
44	151	184
45	154	181
46	157	177
47	161	174
48	164	170
49	167	167
50	170	164
51	174	160
52	177	157
53	180	153
54	183	150
55	187	147
56	190	144
57	194	140
58	197	137
59	200	133
60	204	130
61	207	127
62	211	124
63	214	120
64	217	116
65	221	113
66	224	110
67	227	107
68	230	103
69	234	100
70	237	96
71	240	93
72	243	90
73	246	86
74	250	83
75	253	80
76	256	76
77	260	73
78	263	70
79	267	66
80	270	63
81	274	60
82	277	56
83	280	53
84	284	50
85	288	46
86	292	43
87	295	40
88	298	36
89	302	33
90	305	30
91	308	26
92	312	23
93	315	20
94	319	16
95	322	13
96	325	10
97	328	6
98	332	3
99	335	0
