iter	Passed	Remaining
0	2	288
1	5	288
2	8	268
3	10	255
4	13	257
5	15	249
6	19	253
7	21	247
8	23	242
9	26	241
10	29	235
11	32	236
12	34	233
13	37	232
14	40	228
15	43	226
16	46	229
17	49	225
18	52	224
19	55	220
20	58	221
21	61	217
22	64	216
23	67	212
24	69	208
25	73	207
26	75	203
27	78	201
28	80	197
29	83	194
30	86	192
31	88	188
32	92	187
33	94	183
34	97	180
35	99	177
36	102	174
37	105	172
38	108	168
39	111	166
40	113	163
41	116	160
42	119	157
43	121	154
44	124	151
45	126	148
46	131	148
47	134	145
48	138	144
49	141	141
50	145	139
51	147	136
52	151	134
53	153	131
54	157	128
55	159	125
56	163	123
57	166	120
58	170	118
59	172	115
60	176	112
61	179	109
62	182	107
63	185	104
64	189	101
65	191	98
66	195	96
67	198	93
68	201	90
69	204	87
70	208	85
71	210	81
72	214	79
73	217	76
74	219	73
75	223	70
76	225	67
77	229	64
78	232	61
79	235	58
80	238	55
81	242	53
82	245	50
83	249	47
84	251	44
85	255	41
86	258	38
87	261	35
88	264	32
89	268	29
90	270	26
91	274	23
92	277	20
93	282	18
94	285	15
95	288	12
96	291	9
97	294	6
98	298	3
99	301	0
